x1,y1,x2,y2,x3,y3,x4,y4
51.2038911373,83.3397766053,47.6952008891,95.2411869282,58.2136082599,91.881891513,55.3846,97.1795
58.9744699018,85.499817612,44.6099759113,93.075835032,58.1960536923,92.2149886482,51.5385,96.0256
51.8720726696,85.8297376348,43.8563814822,94.0858717713,58.7182307185,90.310532087,46.1538,94.4872
48.1799307865,85.0451167372,41.5789293984,90.3035665387,57.27837287,89.9076067166,42.8205,91.4103
41.6832004024,84.0179406019,49.1774185559,96.6105324538,58.082020494,92.0081450101,40.7692,88.3333
37.8904155015,82.5674929978,42.6522509813,90.5606397307,57.4894477748,88.0852855629,38.7179,84.8718
39.5489736947,80.812601774,30.1233318217,81.1442953304,28.088741319,63.5107944263,35.641,79.8718
39.6495738769,82.6645338713,31.915519986,79.7904134869,28.0854682136,63.5901969481,33.0769,77.5641
34.7505970472,80.0110909897,27.8877193574,75.4455759934,28.087273053,63.1232828116,28.9744,74.4872
27.560835291,72.8478255927,27.5482344526,75.1647590544,27.5780252176,62.8210386566,26.1538,71.4103
24.6355399754,71.6107148256,20.2097781637,67.5166420988,27.7799191139,63.518147517,23.0769,66.4103
20.9594648125,66.0414983826,24.4434528292,54.4736551228,28.5889998149,63.0240805653,22.3077,61.7949
20.6891490538,62.7213052064,24.6308301331,53.3957388998,28.7391414969,62.7208638859,22.3077,57.1795
19.2882047369,62.0630593582,21.0379688969,49.829299645,27.0246032407,62.9018588649,23.3333,52.9487
20.0245005746,61.3426238695,27.106242932,54.7195531488,28.8013366963,63.389040388,25.8974,51.0256
35.4695229971,43.1158849517,28.0896176553,60.512212549,27.186463838,63.5587296478,29.4872,51.0256
36.8943276507,47.7065559687,31.1357349152,61.4319127116,29.2851466002,63.3836058254,32.8205,51.0256
39.0555497751,55.5469737131,37.700837521,68.4184052804,39.4029453026,51.1508571967,35.3846,51.4103
46.9570801494,65.2404073935,43.3926884016,43.5975940692,28.8113284396,61.3578540576,40.2564,51.4103
37.3104527352,45.2587508999,51.2623974761,49.6665051258,34.3039579069,56.5421259093,44.1026,52.9487
40.0096720019,60.9865825077,43.2867129203,43.0568603208,29.6027609801,60.157346722,46.6667,54.1026
48.0143866846,65.7128195934,55.9059162338,54.2526725342,49.1161568603,63.6600006211,50,55.2564
53.7037759268,66.3894820363,50.198958949,52.2250295948,39.6175458263,62.9251879574,53.0769,55.641
63.0674998921,64.0350004581,55.761587372,54.0305172396,43.23308466,63.1652187223,56.6667,56.0256
62.0480325076,63.8458632494,58.3231396505,60.0310591646,64.8927879422,65.8141767574,59.2308,57.9487
59.8399667124,64.4767644437,70.171457528,70.2822212385,62.4901493154,74.5842896072,61.2821,62.1795
55.1609418175,65.2373081694,60.600276471,59.7533088802,68.9880844294,63.232147305,61.5385,66.4103
61.2797865792,65.766402504,63.7602750188,61.1856411696,62.1056186306,75.9908707599,61.7949,69.1026
60.8349175348,64.6037697063,54.3894952619,53.811901225,32.4618467439,62.8819029189,57.4359,55.2564
61.5205906458,64.7918550418,55.2412969947,52.5935746267,41.3272006535,49.0702512739,54.8718,49.8718
36.916543863,41.0952474383,49.0701267502,48.8969446811,44.0071499323,46.4496737846,52.5641,46.0256
38.5021996714,41.5671556174,46.0181190216,46.2577233718,44.0740606888,34.5532038906,48.2051,38.3333
48.6643707344,30.6806668519,44.7595874356,41.9746066134,44.0013152386,33.9042073544,49.4872,42.1795
50.2852524042,30.3379221051,51.6006241332,50.0324668853,45.0063004454,38.2990195507,51.0256,44.1026
42.276332666,34.5276361236,36.4658820182,35.5241876075,44.4438406096,36.0190833012,45.3846,36.4103
54.0317756204,29.6723483149,33.394798732700004,35.0168013145,42.1787133986,26.492119482,42.8205,32.5641
37.3293552552,39.6020423074,37.5800715749,38.8315722007,44.0445656189,35.6622382764,38.7179,31.4103
41.389522551,37.2960562328,36.619722059,36.8114141094,41.6404540171,27.0930954213,35.1282,30.2564
40.0746666572,34.6236852027,36.1634664356,33.819314199,41.9383300069,24.9915229793,32.5641,32.1795
35.3496806211,47.1410731332,33.1677570349,31.2477411672,44.0539275103,33.5563924949,30,36.7949
34.7637004189,47.6247999245,42.6449829318,40.1543216386,39.2067193308,51.5337156971,33.5897,41.4103
37.0266294472,44.4622930512,47.2250252695,44.5756466185,28.7044492315,61.7775254006,36.6667,45.641
36.4555695327,40.791843032,48.3923630032,50.3315285645,31.7086628996,58.837754374,38.2051,49.1026
35.5376642131,48.7293868661,27.2451932001,29.8195074488,42.8117114739,30.0204484197,29.7436,36.0256
20.4089478892,32.2030304205,30.4043143388,29.0795399241,43.300614891,31.5264261979,29.7436,32.1795
23.4957104659,25.3224681542,30.0807992865,27.5880255173,40.3986329069,16.3470083822,30,29.1026
29.5575433634,21.3647774591,33.9806339675,35.0330581489,40.4356915763,20.2326706762,32.0513,26.7949
